Ch_0,Ch_1,Ch_2,Ch_3,Ratio_0_1,TimeDiff_0_1,Ratio_2_3,TimeDiff_2_3
1401,1702,1350,1359,0.8231492361927144,1125,0.9933774834437086,625
438,269,332,469,1.6282527881040891,-1875,0.7078891257995735,-125
190,199,168,216,0.9547738693467337,1501,0.7777777777777778,1499
855,1045,1353,806,0.8181818181818182,-437,1.6786600496277915,187
6974,8435,7659,6941,0.8267931238885595,4031,1.1034433078807089,1366
1045,1023,3476,911,1.021505376344086,375,3.8155872667398465,-2984
231,193,178,200,1.1968911917098446,-2750,0.89,2749
733,1284,748,679,0.5708722741433022,188,1.101620029455081,125
964,849,4426,647,1.1354534746760896,1501,6.84080370942813,-2609
209,246,189,192,0.8495934959349594,499,0.984375,4250
1022,2084,991,870,0.4904030710172745,2438,1.139080459770115,499
2046,1973,3801,2094,1.036999493157628,-500,1.8151862464183381,78
2461,1548,1723,1932,1.5897932816537468,-32,0.8918219461697723,1470
1024,874,5431,671,1.17162471395881,-187,8.093889716840536,-5227
1353,1227,843,681,1.1026894865525672,-687,1.2378854625550662,1875
1118,1471,1590,806,0.7600271923861319,1376,1.9727047146401986,-1471
597,850,893,589,0.7023529411764706,1500,1.5161290322580645,-126
489,297,392,310,1.6464646464646464,-1875,1.264516129032258,3250
971,551,513,303,1.7622504537205081,-4186,1.693069306930693,-1625
1108,1525,1577,1121,0.7265573770491803,249,1.4067796610169492,-156
397,220,189,269,1.8045454545454545,-624,0.7026022304832714,1501
843,788,585,540,1.0697969543147208,-188,1.0833333333333333,1374
639,577,1175,1081,1.1074523396880416,-1124,1.0869565217391304,813
1502,1492,1338,1049,1.0067024128686326,-31,1.2755004766444233,623
857,851,805,961,1.0070505287896592,-937,0.8376690946930281,3249
1965,1657,1235,948,1.1858780929390464,407,1.3027426160337552,249
578,615,1035,847,0.9398373983739837,-2751,1.2219598583234947,1000
1720,1304,1407,1229,1.3190184049079754,-843,1.144833197721725,1001
397,415,603,577,0.9566265060240964,-1250,1.0450606585788562,1624
1316,1113,1755,779,1.1823899371069182,-937,2.252888318356868,-1906
972,553,571,856,1.7576853526220615,-2500,0.6670560747663551,4062
1245,1538,1695,1146,0.8094928478543563,875,1.4790575916230366,-31
1267,1025,1100,1099,1.2360975609756097,-313,1.0009099181073704,874
694,1115,781,732,0.6224215246636772,937,1.0669398907103824,-562
1001,1061,1653,1192,0.943449575871819,751,1.386744966442953,218
818,477,472,777,1.7148846960167714,-3438,0.6074646074646075,2437
739,374,499,649,1.9759358288770053,-3439,0.7688751926040062,3126
632,672,1332,1190,0.9404761904761905,-1751,1.119327731092437,1344
205,243,289,315,0.8436213991769548,-249,0.9174603174603174,2500
1902,1578,1555,1779,1.2053231939163498,-844,0.8740865654862282,470
1572,1303,1221,1330,1.2064466615502687,-1405,0.9180451127819549,2564
1429,1275,5309,1194,1.1207843137254903,-624,4.4463986599664995,-2384
1677,1610,3408,1113,1.0416149068322982,125,3.0619946091644206,-2767
430,266,314,330,1.6165413533834587,-1749,0.9515151515151515,1875
1009,536,565,875,1.882462686567164,-3501,0.6457142857142857,2000
3663,1506,1637,1104,2.4322709163346614,-2952,1.4827898550724639,408
2052,987,1261,818,2.0790273556231003,-3467,1.5415647921760391,-907
927,1017,1670,1380,0.911504424778761,-624,1.210144927536232,906
687,1271,1329,694,0.5405192761605035,1438,1.914985590778098,-875
636,575,2495,520,1.106086956521739,-750,4.798076923076923,-1892
1479,1373,1506,1937,1.0772032046613256,-187,0.7774909654104285,1718
2435,5929,2741,2359,0.4106932029009951,5954,1.1619330224671471,875
3792,5068,4535,3842,0.7482241515390686,2063,1.1803748047891722,687
1233,1262,1105,881,0.9770206022187005,937,1.2542565266742338,250
1243,963,1157,1160,1.2907580477673937,64,0.9974137931034482,-1250
268,315,319,247,0.8507936507936508,-1,1.291497975708502,-2250
1225,1171,1750,1402,1.0461144321093083,62,1.2482168330955778,1251
1321,1205,3752,1209,1.0962655601659752,437,3.1033912324234905,-1501
431,269,321,280,1.6022304832713754,125,1.1464285714285714,1249
627,972,1066,583,0.6450617283950617,2686,1.8284734133790737,-2125
246,218,278,223,1.128440366972477,-3751,1.2466367713004485,0
2282,2057,1894,4729,1.109382596013612,-187,0.40050750687248887,5076
272,355,422,237,0.7661971830985915,1749,1.780590717299578,-3126
1355,751,732,1309,1.8042609853528628,-4000,0.5592055003819709,3689
1019,1041,1052,1367,0.978866474543708,-1250,0.769568397951719,2313
960,1379,1631,919,0.6961566352429297,1002,1.7747551686615888,-1157
770,598,346,419,1.2876254180602007,-187,0.8257756563245824,625
1302,1328,1214,1350,0.9804216867469879,748,0.8992592592592593,1688
1371,1626,1103,996,0.8431734317343174,-437,1.107429718875502,2248
1900,1889,3623,2094,1.0058231868713605,-593,1.7301814708691499,-281
2507,1060,1173,944,2.3650943396226416,-2345,1.242584745762712,1311
440,492,388,593,0.8943089430894309,-2124,0.654300168634064,4125
243,335,376,270,0.7253731343283583,-250,1.3925925925925926,-749
1561,949,1221,991,1.6448893572181242,-2688,1.2320887991927345,249
647,737,1033,780,0.8778833107191316,-1376,1.3243589743589743,1189
667,722,1159,982,0.9238227146814404,-374,1.180244399185336,1750
2355,1862,1973,1903,1.2647690655209451,-2125,1.0367840252233316,1562
385,390,412,2575,0.9871794871794872,-2249,0.16,3094
1947,2186,2307,5030,0.8906678865507777,-499,0.45864811133200795,5610
2912,2027,1817,2012,1.436605821410952,-750,0.9030815109343936,1374
302,223,219,314,1.3542600896860986,-2000,0.697452229299363,2625
2474,3522,2661,2095,0.7024417944349801,594,1.2701670644391407,845
272,325,276,268,0.8369230769230769,-2250,1.0298507462686568,250
743,676,1004,930,1.099112426035503,-2376,1.0795698924731183,1436
1182,1030,3152,1011,1.1475728155339806,939,3.1177052423343223,-1983
1118,661,691,952,1.6913767019667172,-2875,0.7258403361344538,2439
656,712,812,617,0.9213483146067416,436,1.3160453808752026,813
1699,1491,1688,4778,1.1395036887994634,-1313,0.35328589367936375,3983
772,795,1480,1351,0.9710691823899371,-1376,1.0954848260547743,999
2075,1370,1397,1480,1.5145985401459854,-3031,0.9439189189189189,2095
1303,1239,3230,1076,1.0516545601291365,-376,3.0018587360594795,-2420
1598,1589,2736,2368,1.0056639395846445,-500,1.1554054054054055,905
1676,997,1049,1536,1.6810431293881645,-3719,0.6829427083333334,3657
214,234,279,342,0.9145299145299145,-2251,0.8157894736842105,-375
297,320,530,359,0.928125,-2001,1.4763231197771587,-2501
3012,1230,1362,1045,2.448780487804878,-3248,1.3033492822966508,1750
1365,1027,1845,1065,1.3291139240506329,562,1.732394366197183,-1718
261,248,383,271,1.0524193548387097,999,1.4132841328413284,-1376
1264,1166,1295,3051,1.0840480274442539,-1687,0.4244509996722386,3078
1543,1397,1373,1363,1.1045096635647818,-845,1.0073367571533383,1063
1128,1032,1195,848,1.0930232558139534,-625,1.409198113207547,-750
527,882,968,517,0.5975056689342404,1439,1.872340425531915,-2188
1052,939,1172,1008,1.1203407880724174,-1812,1.1626984126984128,688
579,1027,985,522,0.563777994157741,3438,1.8869731800766283,-3312
799,1068,1235,632,0.74812734082397,-937,1.9541139240506329,-1063
1981,1475,5085,1122,1.343050847457627,-218,4.532085561497326,-3702
1690,1579,1363,1258,1.0702976567447753,-906,1.0834658187599364,1063
1826,1738,2055,2529,1.0506329113924051,-2000,0.8125741399762753,3937
2454,4719,2899,2415,0.5200254291163382,3671,1.2004140786749482,1030
328,385,529,556,0.8519480519480519,-751,0.9514388489208633,625
1085,1280,1301,6208,0.84765625,-563,0.20956829896907217,5899
5802,1219,1613,948,4.759639048400328,-6719,1.7014767932489452,1718
442,651,527,401,0.6789554531490015,-376,1.314214463840399,374
1051,915,1268,681,1.1486338797814208,1,1.8619676945668135,-63
244,514,235,261,0.47470817120622566,1874,0.9003831417624522,750
497,313,370,279,1.5878594249201279,-3626,1.3261648745519714,2376
642,816,439,404,0.7867647058823529,-1,1.0866336633663367,2874
1294,2252,2501,1168,0.5746003552397868,1470,2.141267123287671,-2187
1243,3055,1076,1160,0.40687397708674305,2157,0.9275862068965517,1938
886,1010,619,436,0.8772277227722772,313,1.4197247706422018,500
266,389,359,420,0.6838046272493573,3249,0.8547619047619047,-626
2490,1374,1437,1463,1.8122270742358078,-500,0.9822282980177717,2282
1824,266,289,251,6.857142857142857,-3843,1.151394422310757,1499
172,215,182,210,0.8,1001,0.8666666666666667,-751
1431,1031,1046,1174,1.3879728419010668,-1625,0.8909710391822828,2374
323,315,243,265,1.0253968253968253,-1126,0.9169811320754717,1751
1376,1356,1378,1543,1.0147492625368733,-1250,0.8930654569021387,1906
1312,1181,1187,4512,1.1109229466553767,-936,0.26307624113475175,4546
911,866,916,831,1.0519630484988454,-750,1.102286401925391,2002
358,713,350,491,0.5021037868162693,750,0.7128309572301426,626
1044,2585,1247,1110,0.40386847195357833,2625,1.1234234234234235,877
956,903,1009,4121,1.0586932447397563,1124,0.24484348459111865,4734
232,649,289,236,0.3574730354391371,3000,1.2245762711864407,1750
1216,1219,1462,2116,0.9975389663658737,-1188,0.6909262759924386,2094
1216,991,920,617,1.2270433905146316,-688,1.4910858995137763,1062
517,448,379,1474,1.1540178571428572,-249,0.257123473541384,3313
656,543,1104,947,1.2081031307550645,-625,1.1657866948257656,501
1367,2273,2716,1413,0.6014078310602727,2624,1.9221514508138713,-2049
954,1050,940,1012,0.9085714285714286,-1750,0.9288537549407114,1874
3331,1850,2284,1684,1.8005405405405406,-2828,1.3562945368171022,2000
1052,1169,2719,1103,0.8999144568006844,501,2.4650951949229376,-1046
280,226,181,198,1.238938053097345,-1500,0.9141414141414141,2750
255,244,195,253,1.0450819672131149,-1499,0.7707509881422925,2751
1894,1090,1099,1089,1.7376146788990825,-1906,1.0091827364554637,186
197,336,258,269,0.5863095238095238,999,0.9591078066914498,750
3216,3414,4474,4164,0.9420035149384886,782,1.074447646493756,1125
905,720,1128,981,1.2569444444444444,-688,1.1498470948012232,812
1246,900,1093,616,1.3844444444444444,-2814,1.7743506493506493,-563
2172,3028,3091,2078,0.7173051519154557,563,1.487487969201155,656
1346,1253,1297,1515,1.074221867517957,-750,0.856105610561056,2061
1926,1729,2090,2370,1.1139386928860613,-813,0.8818565400843882,2030
2104,2042,2203,1519,1.030362389813908,-126,1.4502962475312706,-250
895,1607,1351,789,0.5569383945239577,3064,1.7122940430925222,-1875
651,766,840,725,0.8498694516971279,1750,1.1586206896551725,938
1773,923,1054,863,1.9209100758396533,-2844,1.2213209733487833,437
1353,1293,769,690,1.0464037122969838,-1032,1.1144927536231883,-1000
431,356,241,227,1.2106741573033708,625,1.0616740088105727,3000
633,899,896,554,0.7041156840934372,-875,1.6173285198555956,-1688
1013,887,1063,1403,1.1420518602029313,-2498,0.7576621525302922,3344
1643,1547,2423,1446,1.0620555914673562,-468,1.6756569847856155,94
3373,1552,2191,1631,2.1733247422680413,-3954,1.3433476394849786,1874
1212,1595,1798,1084,0.7598746081504703,250,1.6586715867158672,-1157
818,776,1246,1201,1.0541237113402062,-562,1.0374687760199834,1501
261,298,239,301,0.8758389261744967,-1749,0.7940199335548173,1999
1029,1177,1862,1239,0.8742565845369583,-1000,1.502824858757062,907
980,972,585,502,1.008230452674897,-561,1.1653386454183268,1375
2848,2337,2756,1925,1.2186563970902866,-1781,1.4316883116883117,954
2328,2083,5586,1964,1.1176188190110419,-250,2.844195519348269,-3421
1046,901,5483,791,1.1609322974472809,-1062,6.93173198482933,-4273
265,219,251,256,1.2100456621004567,-751,0.98046875,749
1847,2129,2799,1978,0.8675434476279944,282,1.4150657229524772,875
220,273,232,235,0.8058608058608059,2000,0.9872340425531915,-1000
1194,1038,1237,914,1.1502890173410405,-2812,1.3533916849015317,1998
2304,2171,3238,3253,1.061262091202211,-63,0.9953888718106363,1640
4625,853,1020,703,5.422039859320047,-5890,1.4509246088193457,938
565,493,318,249,1.1460446247464504,0,1.2771084337349397,376
1115,1727,1820,992,0.6456282570932252,2251,1.8346774193548387,-1062
720,690,666,4578,1.0434782608695652,-250,0.145478374836173,4860
908,1187,1274,825,0.7649536647009267,-1374,1.5442424242424242,-1624
1974,1203,1330,1815,1.6408977556109725,-2906,0.7327823691460055,2656
248,308,307,287,0.8051948051948052,-1749,1.0696864111498259,499
1293,1284,865,607,1.0070093457943925,-936,1.4250411861614498,686
861,802,1342,1035,1.07356608478803,-124,1.2966183574879226,186
392,518,456,380,0.7567567567567568,750,1.2,-1626
926,833,1508,1483,1.1116446578631454,-1624,1.016857720836143,123
2411,1851,2075,1969,1.302539168017288,-1252,1.053834433722702,1375
1216,943,1904,852,1.2895015906680807,-126,2.2347417840375585,-1718
1307,1898,1534,1138,0.6886195995785037,1437,1.3479789103690685,-92
551,590,701,493,0.9338983050847458,250,1.4219066937119675,-375
454,466,830,580,0.9742489270386266,-999,1.4310344827586208,564
328,326,213,227,1.0061349693251533,-1374,0.9383259911894273,-625
761,1077,1207,669,0.7065923862581244,1876,1.804185351270553,-2938
1588,1394,1542,1699,1.139167862266858,-500,0.90759270158917,1874
1594,1200,1347,1621,1.3283333333333334,-1843,0.8309685379395435,2781
1769,1468,1951,2792,1.2050408719346049,-937,0.6987822349570201,3470
1327,1482,2076,1356,0.8954116059379217,-249,1.5309734513274336,-30
1092,379,618,456,2.8812664907651717,-4936,1.355263157894737,751
1138,1054,5577,878,1.079696394686907,311,6.351936218678816,-4062
1223,2979,1382,1190,0.4105404498153743,3313,1.1613445378151261,625
1306,1528,1773,1258,0.8547120418848168,2000,1.4093799682034975,-344
1606,1603,1558,1416,1.0018714909544604,-843,1.1002824858757063,62
243,268,295,216,0.9067164179104478,-500,1.3657407407407407,625
2518,3305,3235,2755,0.7618759455370651,1719,1.1742286751361162,1672
1122,589,761,980,1.9049235993208828,-4062,0.7765306122448979,4124
3534,4299,5109,3472,0.8220516399162596,2361,1.4714861751152073,531
1097,861,1464,1017,1.2740998838559814,-562,1.4395280235988202,1844
219,221,237,408,0.9909502262443439,-1000,0.5808823529411765,2501
2700,953,962,637,2.8331584470094437,-3250,1.510204081632653,-187
1679,1150,1338,1358,1.46,-2594,0.9852724594992637,3281
601,1040,1397,573,0.5778846153846153,624,2.43804537521815,-2219
1155,820,1042,1037,1.4085365853658536,187,1.004821600771456,375
1022,1385,995,1038,0.7379061371841156,1438,0.9585741811175337,62
1478,1232,2401,1609,1.1996753246753247,-312,1.4922311995027968,531
1157,809,912,965,1.4301606922126082,-563,0.9450777202072539,2751
1116,940,1216,819,1.1872340425531915,-313,1.4847374847374848,-3001
913,1268,1245,801,0.7200315457413249,-312,1.554307116104869,-1500
2586,2400,3948,2941,1.0775,-157,1.3424005440326419,1110
942,720,741,972,1.3083333333333333,-2936,0.7623456790123457,2000
1063,761,1431,709,1.3968462549277267,437,2.0183356840620594,-2657
1651,1320,1637,1396,1.2507575757575757,-2064,1.1726361031518624,1033
464,701,747,342,0.6619115549215406,1625,2.1842105263157894,-750
878,871,1542,1213,1.008036739380023,-312,1.2712283594394065,499
2150,1441,1715,1015,1.4920194309507286,-3656,1.6896551724137931,-562
1608,2018,2254,1429,0.796828543111992,467,1.5773268019594122,-1187
2552,1474,1882,1150,1.7313432835820894,-4124,1.6365217391304347,-1157
1381,1483,2240,1485,0.9312204989885368,-313,1.5084175084175084,626
1229,1161,1159,5971,1.058570198105082,-2126,0.1941048400602914,5046
1388,1721,1329,1499,0.8065078442765834,937,0.8865910607071381,157
307,225,305,261,1.3644444444444443,-1250,1.1685823754789273,1126
2379,1083,1235,740,2.1966759002770084,-3720,1.6689189189189189,-250
231,230,262,536,1.0043478260869565,-2501,0.48880597014925375,2875
2006,1084,1476,1361,1.8505535055350553,-3030,1.0844966936076414,1470
973,1153,1153,3469,0.8438855160450998,-1499,0.3323724416258288,3203
1361,1200,1611,1277,1.1341666666666668,0,1.2615505090054815,-1406
265,397,286,240,0.6675062972292192,1125,1.1916666666666667,-500
305,276,247,434,1.105072463768116,-2001,0.5691244239631337,2375
599,900,872,505,0.6655555555555556,1125,1.7267326732673267,-936
813,1273,1450,711,0.638648860958366,2375,2.0393811533052038,-1656
187,172,218,181,1.0872093023255813,251,1.2044198895027625,-1249
2500,1396,1396,1350,1.7908309455587392,-1344,1.0340740740740741,937
